Date,Campaign_Type,Campaign,Ad_Group,Keyword,Match_Type,Impressions,Clicks,Cost_COP,Conversions,Quality_Score
2026-07-22,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.041,24,$44.529,1,5
2026-07-22,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,722,16,$37.700,0,6
2026-07-22,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,725,25,$50.448,1,6
2026-07-22,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,1.019,35,$50.523,2,6
2026-07-22,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,623,13,$24.806,1,6
2026-07-22,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,389,16,$29.213,1,6
2026-07-22,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.049,21,$44.057,0,5
2026-07-22,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,609,17,$29.994,0,6
2026-07-22,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,390,7,$13.779,0,6
2026-07-22,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,214,2,$6.867,0,4
2026-07-22,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,159,2,$6.054,0,3
2026-07-22,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,139,1,$3.130,0,4
2026-07-22,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,215,3,$8.766,0,5
2026-07-22,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,158,2,$6.491,0,4
2026-07-22,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,117,2,$6.328,0,3
2026-07-23,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,490,45,$45.965,4,10
2026-07-23,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,329,37,$39.917,4,10
2026-07-23,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,99,13,$11.067,2,10
2026-07-23,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,116,9,$9.068,1,9
2026-07-23,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,78,6,$6.897,1,10
2026-07-23,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,39,3,$3.744,0,8
2026-07-23,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.407,47,$94.835,1,8
2026-07-23,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,793,21,$42.551,1,6
2026-07-23,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,413,13,$22.916,1,6
2026-07-23,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.466,40,$84.212,1,5
2026-07-23,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,706,12,$27.641,0,7
2026-07-23,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,633,22,$43.161,1,8
2026-07-23,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,981,33,$53.807,2,7
2026-07-23,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,628,16,$28.121,1,6
2026-07-23,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,313,11,$19.852,0,8
2026-07-23,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.215,20,$40.892,0,5
2026-07-23,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,488,14,$27.342,0,7
2026-07-23,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,403,8,$16.493,0,6
2026-07-23,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,230,2,$5.884,0,4
2026-07-23,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,174,2,$6.037,0,3
2026-07-23,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,113,1,$3.731,0,3
2026-07-23,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,136,2,$6.304,0,5
2026-07-23,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,118,1,$3.227,0,4
2026-07-23,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,83,1,$3.240,0,4
2026-07-24,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,478,46,$40.837,6,9
2026-07-24,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,353,27,$28.658,3,9
2026-07-24,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,134,16,$13.505,2,9
2026-07-24,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,90,8,$7.231,1,10
2026-07-24,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,57,6,$7.114,1,9
2026-07-24,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,46,3,$3.472,0,8
2026-07-24,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.554,38,$75.171,2,7
2026-07-24,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,848,23,$47.656,1,6
2026-07-24,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,395,13,$21.934,1,7
2026-07-24,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.085,29,$52.228,1,7
2026-07-24,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,980,21,$50.056,0,6
2026-07-24,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,613,15,$29.051,0,6
2026-07-24,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,1.199,50,$72.836,2,7
2026-07-24,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,685,18,$31.625,1,6
2026-07-24,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,405,14,$22.434,1,6
2026-07-24,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.331,20,$39.035,1,5
2026-07-24,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,496,11,$20.093,0,7
2026-07-24,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,395,8,$17.757,0,5
2026-07-24,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,278,4,$11.675,0,3
2026-07-24,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,148,2,$6.707,0,5
2026-07-24,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,131,1,$3.126,0,4
2026-07-24,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,210,3,$10.002,0,4
2026-07-24,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,132,2,$6.498,0,3
2026-07-24,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,87,1,$2.884,0,5
2026-07-25,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,594,69,$60.501,8,10
2026-07-25,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,280,28,$31.909,2,10
2026-07-25,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,85,12,$9.653,1,10
2026-07-25,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,87,10,$10.262,1,9
2026-07-25,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,51,5,$5.987,0,8
2026-07-25,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,40,3,$3.123,0,8
2026-07-25,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.395,41,$71.131,1,7
2026-07-25,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,857,20,$43.569,0,6
2026-07-25,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,451,13,$21.512,1,6
2026-07-25,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.103,31,$60.199,1,6
2026-07-25,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,462,11,$25.616,0,5
2026-07-25,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,383,10,$19.028,0,8
2026-07-25,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,644,25,$39.652,1,8
2026-07-25,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,591,14,$28.980,1,5
2026-07-25,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,279,9,$15.091,0,6
2026-07-25,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.019,22,$48.143,0,5
2026-07-25,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,465,12,$22.816,0,6
2026-07-25,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,205,3,$6.143,0,5
2026-07-25,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,227,3,$10.169,0,5
2026-07-25,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,150,2,$5.734,0,3
2026-07-25,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,82,1,$3.615,0,3
2026-07-25,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,171,2,$6.041,0,3
2026-07-25,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,134,1,$3.030,0,4
2026-07-25,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,67,1,$3.161,0,4
2026-07-26,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,383,50,$43.408,4,9
2026-07-26,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,237,21,$24.106,2,9
2026-07-26,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,88,10,$8.347,1,10
2026-07-26,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,77,9,$8.752,1,9
2026-07-26,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,62,4,$4.575,0,9
2026-07-26,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,48,3,$3.173,0,9
2026-07-26,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.646,59,$116.006,2,8
2026-07-26,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,764,19,$41.653,1,5
2026-07-26,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,343,13,$22.176,0,7
2026-07-26,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.027,25,$47.107,1,6
2026-07-26,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,761,17,$36.652,0,5
2026-07-26,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,462,13,$23.784,0,7
2026-07-26,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,904,37,$57.396,2,8
2026-07-26,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,394,8,$15.693,0,5
2026-07-26,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,268,11,$17.102,0,6
2026-07-26,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.098,24,$54.111,0,6
2026-07-26,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,413,11,$20.239,0,5
2026-07-26,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,247,4,$7.966,0,5
2026-07-26,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,264,3,$8.852,0,3
2026-07-26,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,130,2,$6.662,0,5
2026-07-26,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,75,0,$0,0,3
2026-07-26,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,175,2,$5.947,0,5
2026-07-26,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,118,1,$3.571,0,3
2026-07-26,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,65,1,$2.686,0,3
2026-07-27,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,472,61,$52.673,6,10
2026-07-27,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,246,20,$22.192,1,9
2026-07-27,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,108,16,$13.975,2,10
2026-07-27,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,124,14,$13.086,1,8
2026-07-27,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,67,4,$4.418,0,10
2026-07-27,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,63,5,$6.308,0,8
2026-07-27,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.860,60,$112.508,2,6
2026-07-27,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.288,34,$69.191,1,7
2026-07-27,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,544,16,$28.086,1,7
2026-07-27,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.548,36,$70.528,1,6
2026-07-27,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,892,20,$44.827,1,5
2026-07-27,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,517,16,$30.963,1,6
2026-07-27,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,994,43,$69.488,2,7
2026-07-27,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,787,20,$38.038,1,6
2026-07-27,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,421,15,$25.188,1,7
2026-07-27,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.224,26,$50.356,1,6
2026-07-27,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,403,10,$19.241,0,5
2026-07-27,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,324,6,$12.211,0,6
2026-07-27,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,258,3,$9.479,0,4
2026-07-27,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,194,3,$9.971,0,3
2026-07-27,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,151,2,$7.277,0,4
2026-07-27,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,194,3,$9.208,0,3
2026-07-27,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,146,1,$3.419,0,4
2026-07-27,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,106,1,$3.073,0,5
2026-07-28,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,773,75,$72.181,7,9
2026-07-28,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,300,26,$26.469,2,9
2026-07-28,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,136,17,$16.397,3,10
2026-07-28,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,124,12,$12.049,1,10
2026-07-28,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,52,4,$4.657,0,9
2026-07-28,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,42,3,$3.260,0,8
2026-07-28,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.283,34,$62.846,1,6
2026-07-28,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.067,22,$43.262,1,5
2026-07-28,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,401,16,$27.969,1,8
2026-07-28,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.509,41,$85.743,1,7
2026-07-28,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,802,19,$45.676,0,6
2026-07-28,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,512,13,$25.951,0,6
2026-07-28,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,821,35,$54.355,2,7
2026-07-28,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,829,23,$40.830,1,7
2026-07-28,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,352,15,$23.131,1,6
2026-07-28,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.109,17,$37.721,0,5
2026-07-28,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,501,11,$18.637,0,7
2026-07-28,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,405,7,$15.455,0,6
2026-07-28,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,218,2,$5.909,0,3
2026-07-28,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,142,2,$6.368,0,4
2026-07-28,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,125,1,$3.717,0,3
2026-07-28,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,190,3,$8.872,0,3
2026-07-28,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,172,2,$6.747,0,3
2026-07-28,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,85,1,$2.964,0,5
2026-07-29,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,769,92,$85.882,10,9
2026-07-29,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,378,30,$29.917,4,9
2026-07-29,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,144,19,$15.723,3,10
2026-07-29,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,107,9,$8.175,1,10
2026-07-29,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,78,7,$7.350,1,9
2026-07-29,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,63,5,$5.805,0,9
2026-07-29,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.683,59,$99.557,3,7
2026-07-29,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.179,29,$66.177,1,7
2026-07-29,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,506,18,$29.197,1,8
2026-07-29,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.481,41,$87.614,1,6
2026-07-29,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,805,18,$38.246,0,6
2026-07-29,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,486,15,$29.971,0,6
2026-07-29,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,1.137,38,$62.106,2,7
2026-07-29,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,735,21,$42.763,1,7
2026-07-29,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,389,13,$22.840,0,7
2026-07-29,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.047,23,$48.921,0,5
2026-07-29,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,640,14,$22.959,0,6
2026-07-29,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,313,7,$13.856,0,5
2026-07-29,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,310,4,$12.506,0,4
2026-07-29,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,136,2,$5.634,0,5
2026-07-29,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,113,1,$3.655,0,3
2026-07-29,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,212,3,$9.420,0,5
2026-07-29,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,138,2,$6.917,0,3
2026-07-29,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,119,2,$5.357,0,3
2026-07-30,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,723,96,$86.078,12,10
2026-07-30,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,420,40,$38.118,5,9
2026-07-30,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,119,12,$9.641,1,9
2026-07-30,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,125,13,$13.159,1,9
2026-07-30,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,57,4,$3.966,0,10
2026-07-30,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,57,4,$4.563,0,9
2026-07-30,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.496,52,$102.539,2,8
2026-07-30,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.310,27,$56.415,1,7
2026-07-30,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,535,20,$36.799,1,8
2026-07-30,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.667,46,$98.402,1,6
2026-07-30,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,842,16,$34.237,0,6
2026-07-30,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,490,17,$30.591,1,8
2026-07-30,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,1.138,52,$75.001,2,8
2026-07-30,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,761,17,$33.364,1,7
2026-07-30,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,450,20,$32.533,1,6
2026-07-30,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,973,20,$41.749,0,5
2026-07-30,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,614,15,$25.575,0,6
2026-07-30,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,276,6,$11.743,0,6
2026-07-30,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,320,4,$11.928,0,3
2026-07-30,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,159,2,$5.720,0,4
2026-07-30,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,143,1,$3.089,0,3
2026-07-30,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,157,2,$6.246,0,3
2026-07-30,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,138,1,$3.016,0,3
2026-07-30,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,87,1,$3.235,0,3
2026-07-31,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,663,72,$67.206,6,9
2026-07-31,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,399,42,$40.571,3,10
2026-07-31,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,156,20,$17.926,3,9
2026-07-31,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,92,10,$9.938,1,10
2026-07-31,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,75,7,$7.383,0,9
2026-07-31,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,40,4,$4.340,0,9
2026-07-31,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.340,33,$61.542,1,6
2026-07-31,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.106,31,$60.669,1,6
2026-07-31,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,439,18,$32.458,1,7
2026-07-31,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.605,34,$65.040,1,5
2026-07-31,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,913,22,$46.698,0,5
2026-07-31,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,458,15,$28.502,1,8
2026-07-31,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,1.181,43,$74.634,3,8
2026-07-31,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,642,16,$30.516,0,5
2026-07-31,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,395,15,$24.578,1,7
2026-07-31,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.170,24,$52.901,0,6
2026-07-31,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,667,18,$29.886,1,7
2026-07-31,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,255,5,$11.213,0,6
2026-07-31,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,252,3,$10.200,0,3
2026-07-31,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,198,3,$9.842,0,4
2026-07-31,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,115,1,$3.489,0,3
2026-07-31,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,183,3,$9.342,0,3
2026-07-31,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,181,2,$7.135,0,4
2026-07-31,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,108,2,$5.388,0,4
2026-08-01,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,519,48,$44.584,5,10
2026-08-01,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,258,23,$23.199,2,9
2026-08-01,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,107,12,$9.752,1,9
2026-08-01,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,84,8,$8.333,1,9
2026-08-01,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,47,3,$3.567,0,8
2026-08-01,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,48,4,$4.140,0,9
2026-08-01,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.123,36,$61.430,1,8
2026-08-01,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.024,27,$57.514,1,6
2026-08-01,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,408,16,$30.285,1,8
2026-08-01,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.207,33,$68.639,1,6
2026-08-01,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,539,10,$21.667,0,7
2026-08-01,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,382,12,$23.389,0,6
2026-08-01,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,826,32,$48.851,1,6
2026-08-01,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,599,14,$27.779,1,5
2026-08-01,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,319,10,$18.445,1,7
2026-08-01,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.010,22,$45.683,0,5
2026-08-01,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,363,11,$20.188,0,5
2026-08-01,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,339,7,$15.941,0,6
2026-08-01,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,172,2,$6.715,0,5
